alcohol,volatile acidity,sulphates,pH,quality
9.700000,0.705000,0.490000,3.390000,5.000000
9.500000,0.500000,0.550000,3.200000,5.000000
9.500000,0.490000,0.550000,3.200000,5.000000
9.400000,0.500000,0.620000,3.230000,5.000000
9.800000,0.370000,0.620000,3.570000,6.000000
9.500000,0.630000,0.610000,3.280000,5.000000
9.700000,0.550000,0.550000,3.280000,5.000000
9.700000,0.550000,0.550000,3.280000,5.000000
9.400000,0.590000,0.540000,3.250000,5.000000
10.200000,0.580000,0.590000,3.460000,5.000000
10.100000,0.300000,0.970000,3.110000,6.000000
13.000000,0.835000,0.850000,3.570000,7.000000
11.400000,1.090000,0.430000,3.510000,4.000000
10.300000,0.320000,0.820000,3.220000,7.000000
9.300000,0.370000,1.030000,3.040000,5.000000
9.500000,0.500000,0.790000,3.360000,5.000000
9.200000,0.420000,0.550000,3.340000,5.000000
9.200000,0.430000,0.560000,3.340000,6.000000
10.800000,0.300000,0.770000,3.200000,7.000000
10.800000,0.300000,0.770000,3.200000,7.000000
9.300000,0.570000,0.530000,3.290000,5.000000
9.400000,0.440000,0.670000,3.220000,5.000000
10.500000,0.300000,0.880000,3.310000,7.000000
12.400000,0.530000,0.860000,3.300000,6.000000
10.000000,0.725000,0.560000,3.350000,6.000000
10.200000,0.440000,0.670000,3.210000,6.000000
10.100000,0.570000,0.430000,3.300000,5.000000
9.800000,0.735000,0.710000,3.240000,6.000000
10.500000,0.490000,0.760000,3.340000,5.000000
11.000000,0.625000,0.570000,3.140000,5.000000
9.100000,0.725000,0.550000,3.360000,5.000000
9.700000,0.490000,0.540000,3.390000,5.000000
9.500000,0.530000,0.600000,3.300000,5.000000
9.400000,0.340000,0.590000,3.340000,6.000000
9.400000,0.530000,0.570000,3.150000,5.000000
9.500000,0.610000,0.600000,3.420000,5.000000
10.000000,0.645000,0.600000,3.280000,6.000000
10.400000,0.635000,0.570000,3.310000,4.000000
10.500000,0.430000,0.580000,3.370000,6.000000
9.500000,0.590000,1.610000,3.040000,6.000000
9.800000,0.820000,0.630000,3.390000,5.000000
10.500000,0.430000,0.580000,3.370000,6.000000
11.000000,0.520000,0.500000,3.460000,5.000000
12.200000,0.480000,0.620000,3.540000,7.000000
9.900000,0.380000,0.520000,3.370000,6.000000
9.600000,0.370000,0.700000,3.340000,6.000000
11.000000,0.520000,0.500000,3.460000,5.000000
9.000000,1.000000,0.550000,3.320000,6.000000
9.000000,0.630000,0.580000,3.370000,6.000000
9.000000,0.630000,0.580000,3.370000,6.000000
9.200000,0.645000,0.580000,3.370000,6.000000
9.000000,0.630000,0.580000,3.370000,6.000000
9.000000,1.000000,0.550000,3.320000,6.000000
9.300000,0.635000,1.090000,3.000000,5.000000
10.900000,0.380000,0.710000,3.140000,6.000000
9.800000,0.580000,0.490000,3.080000,6.000000
9.200000,0.210000,0.840000,3.070000,7.000000
9.200000,0.210000,0.840000,3.070000,7.000000
9.900000,0.660000,0.960000,3.610000,6.000000
9.500000,0.680000,0.520000,3.380000,5.000000
9.300000,0.600000,0.450000,3.200000,5.000000
9.800000,0.530000,0.480000,3.350000,6.000000
9.900000,0.660000,0.960000,3.610000,6.000000
10.000000,0.320000,0.780000,3.220000,6.000000
9.900000,0.600000,0.700000,3.470000,6.000000
10.500000,0.350000,0.530000,3.170000,5.000000
9.500000,0.775000,0.590000,3.230000,5.000000
9.900000,0.600000,0.700000,3.470000,6.000000
9.300000,0.570000,0.570000,3.260000,5.000000
9.200000,0.340000,0.620000,3.220000,5.000000
9.200000,0.695000,0.670000,3.490000,5.000000
9.400000,0.410000,1.260000,3.060000,5.000000
10.500000,0.310000,0.800000,3.360000,7.000000
9.300000,0.330000,0.650000,3.290000,5.000000
9.400000,0.975000,0.600000,3.350000,4.000000
10.000000,0.520000,0.570000,3.340000,5.000000
9.300000,0.370000,0.670000,3.280000,5.000000
10.900000,0.560000,0.870000,3.080000,5.000000
10.200000,0.260000,0.720000,3.200000,7.000000
9.800000,0.870000,0.720000,3.600000,4.000000
12.800000,0.350000,0.860000,3.350000,8.000000
9.400000,0.540000,0.910000,3.690000,6.000000
10.100000,0.180000,0.970000,3.280000,6.000000
10.700000,0.545000,0.670000,3.360000,6.000000
10.100000,0.180000,0.970000,3.280000,6.000000
10.100000,0.370000,0.780000,3.220000,5.000000
9.400000,0.715000,0.640000,3.310000,5.000000
9.400000,0.650000,0.770000,3.380000,5.000000
10.700000,0.545000,0.670000,3.360000,6.000000
9.400000,0.540000,0.910000,3.690000,6.000000
10.100000,0.180000,0.970000,3.280000,6.000000
12.600000,0.320000,0.820000,3.230000,8.000000
10.500000,0.400000,0.770000,3.380000,7.000000
9.300000,0.260000,0.820000,3.120000,6.000000
9.900000,0.270000,1.080000,3.250000,7.000000
9.100000,0.520000,0.570000,3.360000,5.000000
10.500000,0.400000,0.770000,3.380000,7.000000
9.800000,0.590000,0.710000,3.310000,5.000000
9.800000,0.590000,0.710000,3.310000,5.000000
10.300000,0.450000,0.760000,3.100000,6.000000
10.300000,0.400000,0.700000,3.370000,6.000000
10.600000,0.520000,0.860000,3.340000,7.000000
9.200000,0.420000,0.950000,3.200000,5.000000
10.600000,0.520000,0.860000,3.340000,7.000000
10.500000,0.200000,0.710000,3.300000,5.000000
10.300000,0.550000,0.640000,3.220000,6.000000
10.100000,0.360000,0.600000,3.410000,6.000000
9.500000,0.340000,0.810000,3.050000,6.000000
9.500000,0.500000,0.640000,3.050000,5.000000
9.900000,0.830000,0.520000,3.160000,5.000000
9.600000,0.630000,0.730000,3.670000,5.000000
9.700000,0.650000,0.800000,3.670000,5.000000
9.600000,0.670000,0.710000,3.680000,5.000000
10.700000,0.530000,0.590000,3.380000,6.000000
10.100000,0.180000,0.640000,3.220000,6.000000
10.000000,0.705000,0.720000,3.510000,5.000000
9.500000,0.670000,0.540000,3.390000,5.000000
9.200000,0.650000,0.520000,3.200000,5.000000
9.300000,0.530000,0.590000,3.120000,6.000000
9.400000,0.620000,0.520000,3.360000,5.000000
9.500000,0.410000,0.620000,3.190000,6.000000
9.500000,0.430000,0.630000,3.190000,6.000000
9.500000,0.290000,0.530000,3.410000,6.000000
9.300000,0.530000,0.590000,3.120000,6.000000
9.400000,0.530000,0.540000,3.270000,6.000000
9.500000,0.460000,0.630000,3.320000,6.000000
9.400000,0.470000,0.530000,3.300000,5.000000
11.000000,0.360000,0.680000,3.390000,5.000000
11.000000,0.350000,0.650000,3.420000,6.000000
10.100000,0.560000,0.650000,3.300000,5.000000
10.400000,0.770000,0.640000,3.300000,6.000000
11.500000,0.660000,0.710000,3.370000,7.000000
10.400000,0.770000,0.640000,3.300000,6.000000
11.500000,0.660000,0.710000,3.370000,7.000000
9.700000,0.610000,0.620000,3.240000,5.000000
9.300000,0.620000,0.630000,3.290000,5.000000
9.500000,0.590000,0.700000,3.280000,6.000000
9.200000,0.490000,0.690000,3.160000,6.000000
9.200000,0.490000,0.690000,3.160000,6.000000
11.500000,0.530000,0.740000,3.050000,7.000000
11.500000,0.440000,0.830000,3.280000,5.000000
9.700000,0.270000,0.670000,3.160000,6.000000
9.500000,0.460000,0.620000,3.180000,5.000000
12.500000,0.360000,0.660000,3.230000,6.000000
12.500000,0.360000,0.660000,3.230000,6.000000
9.400000,0.580000,0.540000,3.220000,6.000000
11.000000,0.560000,0.520000,3.130000,5.000000
11.700000,0.650000,0.740000,3.340000,7.000000
12.200000,0.695000,0.840000,3.170000,7.000000
12.500000,0.430000,0.700000,3.350000,6.000000
10.300000,0.430000,0.640000,3.310000,5.000000
11.500000,0.490000,1.000000,3.160000,6.000000
9.800000,0.280000,1.360000,3.110000,7.000000
9.200000,0.340000,1.180000,3.120000,6.000000
11.300000,0.420000,0.870000,3.210000,6.000000
9.800000,0.390000,0.750000,3.300000,6.000000
9.800000,0.390000,0.750000,3.300000,6.000000
10.700000,0.570000,0.780000,3.120000,6.000000
9.900000,0.685000,0.810000,3.600000,5.000000
12.300000,0.815000,0.890000,3.580000,7.000000
12.000000,0.490000,0.930000,3.020000,6.000000
10.000000,0.560000,0.920000,3.110000,6.000000
9.400000,0.785000,0.860000,3.360000,6.000000
9.900000,0.670000,0.980000,3.280000,6.000000
9.400000,0.795000,0.830000,3.350000,6.000000
9.300000,0.665000,0.730000,3.270000,5.000000
13.000000,0.530000,0.770000,3.180000,5.000000
11.900000,0.210000,0.590000,3.250000,6.000000
12.800000,0.750000,0.610000,3.550000,6.000000
11.000000,0.410000,0.880000,3.260000,5.000000
11.700000,0.420000,0.750000,3.240000,7.000000
10.400000,0.430000,0.850000,3.150000,7.000000
9.800000,0.380000,0.680000,3.170000,6.000000
9.400000,0.700000,0.700000,3.190000,5.000000
9.900000,0.450000,0.910000,3.370000,6.000000
10.000000,0.580000,0.560000,3.050000,5.000000
10.200000,0.460000,0.870000,2.990000,5.000000
10.000000,0.615000,0.730000,3.070000,7.000000
11.800000,0.420000,0.930000,3.260000,6.000000
10.000000,0.615000,0.730000,3.070000,7.000000
9.000000,0.575000,0.690000,3.160000,5.000000
9.400000,0.340000,0.640000,3.180000,5.000000
12.000000,0.270000,1.130000,3.200000,7.000000
9.900000,0.765000,0.780000,3.570000,5.000000
8.700000,0.240000,0.870000,3.320000,6.000000
10.600000,0.280000,1.040000,3.320000,6.000000
9.200000,0.550000,0.630000,3.050000,5.000000
10.800000,0.410000,0.810000,3.010000,6.000000
11.800000,0.540000,0.830000,3.010000,7.000000
11.000000,0.450000,1.110000,3.260000,6.000000
12.000000,0.270000,1.130000,3.200000,7.000000
13.300000,0.625000,0.990000,3.110000,6.000000
10.800000,0.420000,0.700000,3.310000,6.000000
9.400000,0.260000,0.800000,3.210000,6.000000
10.000000,0.415000,0.800000,3.060000,6.000000
9.400000,0.260000,0.800000,3.210000,6.000000
9.400000,0.260000,0.800000,3.210000,6.000000
9.200000,0.510000,0.740000,3.420000,5.000000
9.700000,0.630000,0.760000,3.430000,6.000000
9.200000,0.540000,0.740000,3.410000,6.000000
9.600000,0.660000,0.540000,3.310000,6.000000
9.200000,0.460000,0.740000,3.430000,6.000000
10.000000,0.380000,0.700000,3.190000,7.000000
12.900000,0.850000,0.820000,3.560000,8.000000
10.000000,0.415000,0.800000,3.060000,6.000000
9.500000,0.370000,0.510000,3.180000,5.000000
9.100000,0.665000,0.540000,3.160000,5.000000
9.900000,0.600000,0.570000,3.030000,5.000000
13.000000,0.370000,0.600000,3.220000,7.000000
9.900000,0.735000,0.530000,3.470000,5.000000
11.000000,0.590000,0.650000,3.180000,6.000000
11.000000,0.590000,0.650000,3.180000,6.000000
9.400000,0.765000,0.550000,3.100000,5.000000
9.900000,0.735000,0.530000,3.470000,5.000000
10.800000,0.260000,0.470000,3.290000,6.000000
10.500000,0.480000,0.610000,3.100000,6.000000
10.500000,0.600000,0.630000,3.150000,6.000000
9.100000,0.690000,0.610000,3.260000,5.000000
10.100000,0.310000,0.760000,3.360000,6.000000
10.800000,0.440000,0.650000,3.240000,6.000000
10.800000,0.390000,0.630000,3.180000,7.000000
11.300000,0.340000,0.700000,3.190000,6.000000
9.600000,0.460000,0.570000,3.050000,4.000000
9.500000,0.430000,0.620000,3.380000,6.000000
9.500000,0.450000,0.620000,3.380000,5.000000
9.300000,0.735000,0.640000,3.270000,5.000000
11.700000,0.400000,0.820000,3.270000,7.000000
9.500000,0.520000,0.610000,3.260000,5.000000
9.300000,0.725000,1.070000,3.320000,5.000000
11.700000,0.480000,0.660000,3.260000,6.000000
10.500000,0.580000,0.480000,3.440000,5.000000
10.400000,0.380000,0.760000,3.240000,6.000000
9.900000,0.770000,0.680000,3.620000,5.000000
11.800000,0.560000,0.730000,3.280000,7.000000
12.300000,0.840000,0.560000,3.520000,7.000000
10.900000,0.960000,0.440000,3.360000,5.000000
11.000000,0.240000,0.900000,3.150000,7.000000
10.900000,0.960000,0.440000,3.360000,5.000000
12.300000,0.840000,0.560000,3.520000,7.000000
11.400000,0.670000,0.490000,3.490000,6.000000
10.600000,0.780000,0.560000,3.260000,6.000000
9.300000,0.520000,0.600000,3.240000,5.000000
10.400000,0.840000,0.600000,3.100000,6.000000
11.000000,0.240000,0.900000,3.150000,7.000000
9.200000,0.550000,0.560000,3.250000,5.000000
12.800000,0.370000,0.650000,3.000000,6.000000
9.500000,0.390000,0.490000,3.160000,5.000000
9.900000,0.410000,0.890000,3.150000,6.000000
9.500000,0.390000,0.490000,3.160000,5.000000
10.200000,0.670000,0.560000,3.260000,6.000000
11.200000,0.450000,0.660000,3.170000,6.000000
9.900000,0.410000,0.890000,3.150000,6.000000
9.300000,0.620000,0.600000,3.080000,5.000000
9.800000,0.310000,0.820000,2.880000,8.000000
11.300000,0.400000,0.680000,3.060000,6.000000
11.200000,0.685000,0.680000,2.950000,7.000000
11.600000,0.440000,0.630000,3.230000,7.000000
12.500000,0.570000,0.840000,3.570000,7.000000
10.100000,0.735000,0.560000,3.230000,6.000000
10.500000,0.380000,0.730000,3.100000,5.000000
11.200000,0.480000,0.720000,3.220000,5.000000
10.200000,0.530000,0.560000,3.200000,6.000000
10.800000,0.390000,0.610000,3.100000,6.000000
10.800000,0.390000,0.610000,3.100000,6.000000
9.100000,0.370000,1.060000,3.060000,6.000000
10.000000,0.560000,0.630000,3.440000,6.000000
11.200000,0.330000,0.740000,3.260000,7.000000
11.100000,0.230000,0.630000,3.500000,5.000000
13.400000,0.620000,0.690000,3.220000,8.000000
10.300000,0.590000,0.580000,3.370000,5.000000
9.600000,0.630000,0.580000,3.280000,5.000000
11.200000,0.330000,0.740000,3.260000,7.000000
9.000000,0.580000,0.570000,3.250000,3.000000
11.300000,0.430000,0.610000,3.350000,6.000000
9.300000,0.615000,0.610000,3.260000,5.000000
11.800000,0.260000,0.610000,3.180000,5.000000
9.000000,0.660000,0.530000,3.080000,5.000000
9.200000,0.315000,0.700000,2.980000,6.000000
9.700000,0.290000,0.910000,3.480000,5.000000
11.500000,0.500000,0.720000,3.160000,6.000000
14.000000,0.460000,0.790000,3.320000,6.000000
9.200000,0.360000,0.620000,3.170000,6.000000
9.800000,0.820000,0.580000,3.200000,5.000000
10.600000,0.320000,0.610000,3.050000,5.000000
11.400000,0.540000,0.710000,3.200000,6.000000
10.400000,0.370000,0.820000,3.150000,6.000000
10.600000,0.350000,0.790000,3.260000,5.000000
9.400000,0.280000,0.890000,3.200000,6.000000
10.200000,0.680000,0.600000,3.140000,5.000000
9.700000,0.270000,0.700000,3.280000,5.000000
11.000000,0.240000,1.060000,3.180000,6.000000
10.200000,0.680000,0.600000,3.140000,5.000000
10.100000,0.685000,0.700000,3.190000,6.000000
9.200000,0.280000,0.660000,3.120000,5.000000
11.700000,0.300000,0.920000,3.150000,8.000000
9.400000,0.360000,1.050000,3.040000,5.000000
9.400000,0.360000,1.060000,3.040000,5.000000
13.400000,0.440000,0.660000,3.060000,6.000000
10.000000,0.670000,0.470000,3.170000,5.000000
10.000000,0.670000,0.470000,3.170000,5.000000
10.000000,0.645000,0.420000,3.170000,6.000000
10.800000,0.320000,0.920000,3.320000,7.000000
10.200000,0.390000,0.750000,3.340000,6.000000
10.600000,0.775000,0.670000,3.310000,6.000000
13.300000,0.410000,0.790000,3.340000,7.000000
13.400000,0.400000,0.900000,3.320000,7.000000
11.600000,0.690000,0.740000,3.480000,6.000000
12.100000,0.390000,0.550000,3.440000,6.000000
11.000000,0.350000,0.650000,3.150000,8.000000
9.000000,0.520000,0.650000,3.430000,6.000000
11.100000,0.340000,0.790000,3.320000,5.000000
11.000000,0.350000,0.650000,3.150000,8.000000
11.600000,0.690000,0.740000,3.480000,6.000000
9.000000,0.520000,0.650000,3.430000,6.000000
12.000000,0.440000,0.850000,3.170000,7.000000
12.000000,0.440000,0.850000,3.170000,7.000000
10.900000,0.260000,1.040000,3.180000,7.000000
10.800000,0.240000,1.050000,3.210000,7.000000
12.500000,0.490000,0.780000,3.160000,7.000000
10.800000,0.240000,1.020000,3.250000,7.000000
9.500000,0.670000,0.710000,3.170000,6.000000
10.200000,0.590000,0.630000,3.180000,6.000000
11.400000,0.290000,0.680000,3.040000,7.000000
9.500000,0.420000,0.610000,3.020000,5.000000
10.200000,0.590000,0.630000,3.180000,6.000000
9.700000,0.400000,0.810000,3.030000,6.000000
11.800000,0.510000,0.660000,3.090000,7.000000
11.800000,0.510000,0.660000,3.090000,7.000000
9.300000,0.655000,1.140000,3.310000,5.000000
11.900000,0.600000,0.740000,3.250000,6.000000
8.400000,0.610000,0.630000,3.160000,3.000000
11.700000,0.210000,0.680000,3.220000,6.000000
11.000000,0.365000,0.780000,3.360000,5.000000
10.000000,0.250000,0.900000,3.420000,6.000000
9.100000,0.410000,0.640000,3.480000,5.000000
9.800000,0.390000,0.990000,3.380000,5.000000
9.400000,0.400000,0.550000,3.220000,5.000000
9.500000,0.430000,0.640000,3.230000,5.000000
9.900000,0.640000,0.670000,3.240000,5.000000
11.000000,0.365000,0.780000,3.360000,5.000000
11.400000,0.380000,0.770000,3.390000,6.000000
8.700000,0.420000,0.750000,3.340000,6.000000
9.400000,0.630000,0.570000,3.090000,5.000000
10.300000,0.220000,0.870000,3.410000,6.000000
10.300000,0.380000,0.610000,3.160000,5.000000
10.300000,0.380000,0.610000,3.160000,5.000000
12.800000,0.270000,0.660000,3.220000,6.000000
10.000000,0.480000,0.560000,3.280000,6.000000
10.300000,0.220000,0.870000,3.410000,6.000000
9.400000,0.630000,0.570000,3.090000,5.000000
10.700000,0.825000,0.770000,3.370000,6.000000
12.000000,0.350000,0.660000,3.200000,7.000000
11.200000,0.500000,0.620000,3.220000,5.000000
9.600000,0.590000,0.670000,3.260000,5.000000
11.000000,0.460000,0.730000,3.210000,6.000000
9.900000,0.715000,0.590000,3.120000,5.000000
11.000000,0.660000,0.720000,3.060000,6.000000
8.400000,0.310000,0.790000,2.860000,6.000000
9.100000,0.470000,0.590000,3.080000,5.000000
9.500000,0.550000,0.780000,3.450000,6.000000
10.700000,0.310000,0.860000,3.260000,6.000000
10.400000,0.350000,0.750000,3.120000,6.000000
9.400000,0.530000,0.610000,3.270000,6.000000
9.500000,0.510000,0.560000,3.330000,6.000000
10.000000,0.430000,0.730000,3.190000,6.000000
10.000000,0.460000,0.740000,3.120000,6.000000
11.500000,1.040000,0.620000,3.740000,5.000000
11.100000,0.645000,0.740000,2.920000,5.000000
11.100000,0.645000,0.740000,2.920000,5.000000
11.700000,0.530000,0.560000,3.070000,6.000000
11.100000,0.645000,0.740000,2.920000,5.000000
